"","date.x","City","issues","actors","claims","valence","size_low","size_high","size_mean","fips_code","GEOID","population","BlackPop","BlackPov","Bachelors","Pop25Plus","Masters","ProfDegree","Doctorate","CollegeStudents","name","age","gender","race","date.y","cause_of_death","wapo_armed","wapo_threat_level","officer_known_past_shootings","year","mappingPreGF","mappingPostGF","mappingBlackOnlyPreGF","mappingBlackOnlyPostGF"
"59032",2019-02-07,"staunton, virginia","racism","SAW Democratic Committee","anti racism",0,NA,NA,NA,51790,"5175216",24432,2754,2388,3114,17644,2036,319,421,982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59486",2019-02-14,"medford, massachusetts","guns; racism","students and faculty","in honor of Parkland victims; against NRA; against gun violence",1,24,24,24,25017,"2539835",57637,5324,5179,11035,41431,7894,1395,1967,4803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59549",2019-02-15,"lincoln park, michigan","civil rights; policing; racism","general protestor","Civil Rights; For racial justice; For greater accountability; Police",0,1,1,1,26163,"2647800",36697,3189,3095,1626,24313,537,85,34,1508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59749",2019-02-19,"lincoln park, michigan","policing; racism","Individual;Counterprotestors","Police injustice;Racism",1,5,5,5,26163,"2647800",36697,3189,3095,1626,24313,537,85,34,1508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60068",2019-02-23,"chapel hill, north carolina","racism","The Heirs of the Confederacy","For Confederate symbol",0,NA,NA,NA,37135,"3711800",60998,6640,5463,9032,31419,7482,3221,4434,17419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60069",2019-02-23,"chapel hill, north carolina","civil rights; racism","general protestors","Civil Rights; Against Confederate symbol; Counter protest",0,NA,NA,NA,37135,"3711800",60998,6640,5463,9032,31419,7482,3221,4434,17419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60378",2019-03-01,"ashburn, virginia","civil rights; racism","Black Panther Party","Civil Rights; For racial justice",0,6,6,6,51107,"5103320",49848,4078,4063,12199,33241,7221,778,687,2354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60538",2019-03-04,"charleston, illinois","civil rights; racism","Black Lives Matter at Eastern Illinois University","Civil Rights; For greater accountability; For racial justice",1,NA,NA,NA,17029,"1712567",20464,1655,982,2154,10914,1127,130,376,5543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61577",2019-03-16,"san rafael, california","civil rights; racism","general protestors","Civil Rights; For racial justice",0,60,60,60,6041,"0668364",58775,807,658,12556,41559,5498,2313,1322,3237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61578",2019-03-16,"chapel hill, north carolina","civil rights; racism","general protestors","Civil Rights; For Confederate symbol",2,NA,NA,NA,37135,"3711800",60998,6640,5463,9032,31419,7482,3221,4434,17419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61758",2019-03-18,"bronxville, new york","civil rights; lgbtqia; racism; women's rights","general protestors","Civil Rights; For racial justice; Pro-LGBTQ; For women's rights; For firing/reassignment",1,NA,NA,NA,36119,"3608532",6409,73,11,1268,3864,1019,690,110,631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63314",2019-04-09,"storrs, connecticut","civil rights; racism","Youth for Socialist Action; Revolution Against Rape","Civil Rights; For racial justice; Against invited speaker",0,NA,NA,NA,9013,"0973980",16352,727,188,290,1621,421,80,207,14430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63315",2019-04-09,"athens, ohio","civil rights; policing; racism","general protestors","Civil Rights; For racial justice; For greater accountability; Police",0,NA,NA,NA,39009,"3902736",24984,1396,745,1883,7459,1878,146,1066,14558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63572",2019-04-13,"burke, virginia","civil rights; racism; reproductive rights","NAACP; VA Republican Party","Against state executive; Civil Rights; For racial justice; Against abortion rights",2,90,90,90,51059,"5111464",42806,3115,3115,9326,29106,7249,1184,672,2276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64158",2019-04-24,"chapel hill, north carolina","civil rights; policing; racism","Students Strike Back","Civil Rights; Against white supremacy; For greater accountability; Police",1,200,200,200,37135,"3711800",60998,6640,5463,9032,31419,7482,3221,4434,17419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64638",2019-05-04,"chapel hill, north carolina","racism","Heirs to the Confederacy","pro white supremacy",2,12,12,12,37135,"3711800",60998,6640,5463,9032,31419,7482,3221,4434,17419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64639",2019-05-04,"chapel hill, north carolina","racism","generl protestors","anti white supremacy",1,24,24,24,37135,"3711800",60998,6640,5463,9032,31419,7482,3221,4434,17419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64855",2019-05-09,"easthampton, massachusetts","civil rights; racism","general protestors","civil rights; for racial justice",1,200,200,200,25015,"2519370",15960,300,300,3046,12545,1537,197,127,765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65764",2019-05-26,"carteret, new jersey","civil rights; policing; racism","general protestors","civil rights; for greater accountability; for racial justice; police",1,50,100,75,34023,"3410750",23589,3135,3135,2958,16175,825,77,66,1461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67574",2019-07-04,"canonsburg, pennsylvania","racism","general protestors","the failure to represent certain victims of violent crimes that come from a certain demographic or a certain community, and that could be white or black",0,NA,NA,NA,42125,"4211152",8844,820,820,1067,6307,386,18,9,216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67591",2019-07-07,"chapel hill, north carolina","racism","general protestors","to make sure that they know that the town doesn’t accept or tolerate racism, and that they’re not welcome here and that they can’t intimidate us",0,50,50,50,37135,"3711800",60998,6640,5463,9032,31419,7482,3221,4434,17419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68176",2019-07-22,"brevard, north carolina","environment; presidency; racism","general protestors","what they think is a dangerous environment of hate, stemmed from Trump tweet",1,50,50,50,37175,"3707720",7824,862,734,1140,5727,690,21,164,741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68698",2019-08-06,"boonville, california","guns; racism","general protestors","against white supremacy; for gun reform",1,NA,NA,NA,6045,"0607512",947,56,52,56,645,55,18,0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69081",2019-08-07,"sierra madre, california","guns; racism","general protestors","against white supremacy; for gun reform",1,NA,NA,NA,6037,"0671806",10932,112,112,2782,8439,1555,444,347,349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69148",2019-08-07,"brookfield, illinois","guns; racism","Indivisible Brookfield","against white supremacy; for gun reform",1,NA,NA,NA,17031,"1708576",18735,969,958,3450,12835,1884,208,162,804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69361",2019-08-07,"mount prospect, illinois","guns; racism","general protestors","against white supremacy; for gun reform",1,NA,NA,NA,17031,"1751089",54604,1750,1750,10996,38626,4605,898,391,2184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69362",2019-08-07,"emporia, kansas","guns; racism","general protestors","against white supremacy; for gun reform",1,NA,NA,NA,20111,"2021275",24607,747,693,2306,13759,1178,230,172,3629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69393",2019-08-07,"freehold, new jersey","guns; racism","Casa Freehold; Wind of the Spirit; New Labor; Unidad Latina en Accion; Mil Sonrisas; LAZOS","against white supremacy; for gun reform",1,NA,NA,NA,34025,"3425200",11797,1211,1211,1060,7926,434,60,76,422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69394",2019-08-07,"morristown, new jersey","guns; racism","Casa Freehold; Wind of the Spirit; New Labor; Unidad Latina en Accion; Mil Sonrisas; LAZOS","against white supremacy; for gun reform",1,NA,NA,NA,34027,"3448300",18909,1658,1605,4777,13931,2334,678,334,888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69500",2019-08-07,"hempstead, new york","guns; racism","Hempstead TPS Committee; Workplace Project","against white supremacy; for gun reform",1,NA,NA,NA,36059,"3633139",55300,25131,24825,4062,35007,1906,247,187,3007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70245",2019-08-08,"andover, massachusetts","guns; racism","general protestors","against white supremacy; for gun reform",1,NA,NA,NA,25009,"2501430",8914,232,163,1940,5897,1574,257,359,1303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70886",2019-08-24,"hillsborough, north carolina","racism","Ku Klux Klan","for white supremacy",2,15,15,15,37135,"3731620",7115,1489,1294,1467,5130,804,180,227,474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71382",2019-09-05,"marquette, michigan","policing; racism","""Take a Knee Peaceful Protest"" Organization","Against police brutality and voilence against black and brown communities",0,1,1,1,26103,"2651900",20822,816,185,3373,11745,1216,313,281,5330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71603",2019-09-11,"leawood, kansas","lgbtqia; racism","Students and parents","Against hate, pro-LGBTQ",0,NA,NA,NA,20091,"2039075",34670,256,256,10317,24196,4994,2691,609,1004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72129",2019-09-27,"west lafayette, indiana","guns; racism","students","anti gun violence and anti racism, pro gun control",1,NA,NA,NA,18157,"1882862",48551,1789,1214,4199,15708,4193,637,2201,24076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72414",2019-10-04,"bloomfield, pennsylvania","lgbtqia; racism; women's rights","general protesters","protesting violence against Black and Trans women in Pittsburgh",1,100,100,100,42003,"4207040",1443,6,6,149,1009,53,24,3,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72415",2019-10-05,"pittsboro, north carolina","racism","general protesters","pro confederate memorial",0,10,30,20,37037,"3752660",4195,802,732,811,3030,480,139,69,221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72416",2019-10-05,"pittsboro, north carolina","racism","general protesters","anti confederate memorial",0,10,30,20,37037,"3752660",4195,802,732,811,3030,480,139,69,221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73073",2019-10-21,"mansfield, connecticut","racism","UConn's NAACP; UConn Collaborative Organizing","against hate and racism",1,200,200,200,9013,"0945120",939,5,5,135,569,140,51,26,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73359",2019-10-27,"east lansing, michigan","education; racism","Michigan state students","against recent racist and hate crime incidents and schools handling of them",1,8,8,8,26065,"2624120",48729,3307,2055,4795,14774,3314,861,1663,28246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74052",2019-11-11,"edina, minnesota","racism; religion","Anti-War Committee","protest GOP's racism, xenophobia, and anti-Muslim bigotry",1,50,50,50,27053,"2718188",51746,1344,1330,14695,37147,6911,3095,1229,1014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74513",2019-11-16,"pittsboro, north carolina","racism","general protestors","anti Confederate statues",1,12,12,12,37037,"3752660",4195,802,732,811,3030,480,139,69,221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74514",2019-11-16,"pittsboro, north carolina","racism","general protestors","pro Confederate statues",2,12,12,12,37037,"3752660",4195,802,732,811,3030,480,139,69,221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74515",2019-11-18,"denison, iowa","education; racism","students","protest teacher's use of racial slur",0,120,120,120,19047,"1919945",8337,435,433,514,5059,108,90,12,449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74780",2019-11-21,"denison, iowa","education; racism","general protesters","against use of racial slurs by a teacher",0,NA,NA,NA,19047,"1919945",8337,435,433,514,5059,108,90,12,449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75644",2019-12-05,"chapel hill, north carolina","education; racism","students","for removing Silent Sam Confederate statue from University of North Carolina - Chapel Hill campus, against racism",1,200,200,200,37135,"3711800",60998,6640,5463,9032,31419,7482,3221,4434,17419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75708",2019-12-06,"freeport, new york","policing; racism","general protesters","for justice for Akbar Rogers, against police brutality, against racism",1,100,100,100,36059,"3627485",43078,12860,12754,4902,29529,2274,504,269,2307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76087",2019-12-13,"chapel hill, north carolina","education; racism","general protesters","for removing Silent Sam Confederate statue from University of North Carolina - Chapel Hill campus, against racism",1,NA,NA,NA,37135,"3711800",60998,6640,5463,9032,31419,7482,3221,4434,17419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76631",2019-12-30,"west nyack, new york","racism; religion","general protesters","Against hate towards Jewish community",0,700,700,700,36087,"3680599",3942,20,20,651,2895,573,86,162,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77610",2020-01-12,"mineola, new york","racism; religion","Island-Wide Task Force against Anti-Semitism and Symbols of Hate","against antisemitism and hate",0,2000,2000,2000,36059,"3647636",19186,489,489,3492,14840,1909,646,186,841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78496",2020-01-20,"orange, texas","racism","Repurpose","for repurposing Confederate Memorial of the Wind, against white supremacy",1,6,6,6,48361,"4854132",18762,6023,5935,1732,13119,335,83,68,883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78721",2020-01-23,"hempstead, new york","policing; racism","New York Communities for Change","against police brutality, against racism",1,36,36,36,36059,"3633139",55300,25131,24825,4062,35007,1906,247,187,3007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79079",2020-02-01,"baldwin, new york","policing; racism","general protesters","against police brutality, against racial profiling by police",1,30,50,40,36059,"3604143",24727,9120,9108,4161,17240,2222,476,112,1429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79307",2020-02-05,"saline, michigan","education; racism","general protesters","against racism in school district",1,NA,NA,NA,26161,"2671140",9251,116,86,1701,6471,1253,161,231,388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79523",2020-02-11,"roosevelt, new york","policing; racism","family and friends of two teen suspects","against police brutality, against racial profiling by police",1,NA,NA,NA,36059,"3663506",16899,9842,9800,1304,11204,583,109,49,875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80563",2020-02-26,"oak park, illinois","policing; racism","OPRF High School students","for justice for Trayvon Martin, against police violence, against racism",1,100,100,100,17031,"1754885",52233,9528,9353,11293,36672,9284,3069,2039,1926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81317",2020-03-07,"chapel hill, north carolina","democracy; education; racism","retired police officer","against removal of Confederate statue on University of North Carolina campus, against communism and anarchism",2,1,1,1,37135,"3711800",60998,6640,5463,9032,31419,7482,3221,4434,17419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81318",2020-03-07,"chapel hill, north carolina","education; racism","students","for removal of Confederate statue on University of North Carolina campus, against racism",1,40,40,40,37135,"3711800",60998,6640,5463,9032,31419,7482,3221,4434,17419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81663",2020-03-13,"ellensburg, washington","covid; racism","student protestors","against anti-Asian racism in response to COVID pandemic",1,60,60,60,53037,"5321240",20167,312,245,2309,9421,729,176,373,7107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82791",2020-04-17,"belchertown, massachusetts","criminal justice; immigration; policing; racism","Belchester Voices for Justice","against mass incarceration, against racism, against police brutality, for immigrants' rights, against Joe Arpaio",1,50,60,55,25015,"2504790",2874,15,15,355,2017,381,18,63,192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83917",2020-05-16,"lisbon, ohio","civil rights; free speech; policing; presidency; racism","Anonymous Columbus Ohio","against arrest of protester at Free Ohio Now event on May 9, against local law enforcement, for First Amendment rights, for President Trump, for Confederate heritage",2,3,3,3,39029,"3944030",2695,50,29,150,1844,80,22,11,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85369",2020-05-27,"marco island, florida","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,12021,"1243083",17834,13,13,4523,15780,1737,535,281,242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85404",2020-05-27,"haverhill, massachusetts","policing; racism","general protesters","antiracism; against police brutality",1,12,12,12,25009,"2529405",63533,2310,2253,8792,43435,3295,501,342,2837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85427",2020-05-27,"oakdale, minnesota","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,27163,"2747680",27963,2701,2697,4279,19501,1514,192,199,1646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85545",2020-05-27,"spotsylvania courthouse, virginia","patriotism; racism","Patriot Front","for white supremacy, for patriotism",2,10,12,11,51177,"5174470",4607,742,742,476,2922,191,69,27,247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85591",2020-05-28,"troy, alabama","policing; racism","general protester","antiracism; against police brutality",1,1,1,1,1109,"0176920",19112,7354,6747,1601,9809,875,216,275,4856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86659",2020-05-28,"windermere, florida","policing; racism","general protesters","antiracism; against police brutality",1,24,24,24,12095,"1278050",3430,68,68,1057,2513,422,243,53,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86873",2020-05-28,"framingham, massachusetts","policing; racism","general protesters","antiracism; against police brutality",1,30,30,30,25017,"2524960",72308,5288,4997,13916,51702,7422,1612,1638,4363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86874",2020-05-28,"haverhill, massachusetts","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,25009,"2529405",63533,2310,2253,8792,43435,3295,501,342,2837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86884",2020-05-28,"apple valley, minnesota","policing; racism","general protesters","antiracism; against police brutality",1,2,2,2,27037,"2701900",52889,4585,4578,10861,35461,3966,731,411,2418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86885",2020-05-28,"blaine, minnesota","policing; racism","general protesters","antiracism; against police brutality",1,2,2,2,27003,"2706382",64114,3785,3765,10340,42574,3501,532,470,2517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86886",2020-05-28,"brainerd, minnesota","policing; racism","general protesters","antiracism; against police brutality",1,60,60,60,27035,"2707300",13373,366,335,891,8883,324,82,67,511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86943",2020-05-28,"oakdale, minnesota","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,27163,"2747680",27963,2701,2697,4279,19501,1514,192,199,1646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86967",2020-05-28,"saint peter, minnesota","policing; racism","general protesters","antiracism; against police brutality",1,200,300,250,27103,"2758036",11854,397,325,1308,6939,553,95,199,2474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86968",2020-05-28,"west saint paul, minnesota","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,27037,"2769700",19779,1002,990,2922,13988,1013,326,122,856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87674",2020-05-28,"forest grove, oregon","policing; racism","general protesters","antiracism; against police brutality",1,7,7,7,41067,"4126200",24457,139,108,2772,15033,1108,156,235,2207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87902",2020-05-29,"troy, alabama","policing; racism","general protester","antiracism; against police brutality",1,NA,NA,NA,1109,"0176920",19112,7354,6747,1601,9809,875,216,275,4856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88556",2020-05-29,"coronado, california","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,6073,"0616378",23639,851,213,5292,15935,3146,1183,641,1162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89246",2020-05-29,"mill valley, california","policing; racism","general protesters","antiracism; against police brutality",1,200,200,200,6041,"0647710",14330,167,164,4335,10762,2326,1101,466,193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89247",2020-05-29,"moorpark, california","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,6111,"0649138",36372,577,577,7126,24801,2739,818,410,2092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89248",2020-05-29,"mountain view, california","policing; racism","Mountain View Voices for Peace and Justice","antiracism; against police brutality",1,250,250,250,6085,"0649651",1970,95,95,302,1350,33,7,0,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89249",2020-05-29,"mountain view, california","policing; racism","Mountain View Voices for Peace and Justice","antiracism; against police brutality",1,250,250,250,6085,"0649670",81656,1273,1268,17555,59633,15925,2843,5124,3487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89709",2020-05-29,"windermere, florida","policing; racism","general protesters","antiracism; against police brutality",1,200,200,200,12095,"1278050",3430,68,68,1057,2513,422,243,53,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90108",2020-05-29,"schaumburg, illinois","policing; racism","general protesters","antiracism; against police brutality",1,60,60,60,17031,"1768003",74194,3130,3066,17011,53640,7869,873,737,2480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90396",2020-05-29,"framingham, massachusetts","policing; racism","general protesters","antiracism; against police brutality",1,24,24,24,25017,"2524960",72308,5288,4997,13916,51702,7422,1612,1638,4363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90397",2020-05-29,"haverhill, massachusetts","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,25009,"2529405",63533,2310,2253,8792,43435,3295,501,342,2837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90456",2020-05-29,"bar harbor, maine","policing; racism","Indivisible MDI","antiracism; against police brutality",1,NA,NA,NA,23009,"2302830",2292,159,159,360,1652,122,103,109,304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90519",2020-05-29,"marquette, michigan","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,26103,"2651900",20822,816,185,3373,11745,1216,313,281,5330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90520",2020-05-29,"marquette, michigan","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,26103,"2651900",20822,816,185,3373,11745,1216,313,281,5330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90942",2020-05-29,"ridgefield park, new jersey","policing; racism","general protesters","antiracism; against police brutality",1,100,100,100,34003,"3462940",12922,588,588,2493,9275,1104,153,117,665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91614",2020-05-29,"plattsburgh, new york","policing; racism","general protesters","antiracism; against police brutality",1,12,12,12,36019,"3658574",19465,811,410,1703,10945,1475,260,238,3819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91615",2020-05-29,"white plains, new york","policing; racism","general protesters","antiracism; against police brutality",1,200,200,200,36119,"3681677",58137,6892,6699,9956,42075,7433,2538,907,2614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91708",2020-05-29,"delaware, ohio","policing; racism","general protesters","antiracism; against police brutality",1,400,400,400,39041,"3921434",40568,2165,1839,5894,26079,2691,324,369,2873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91709",2020-05-29,"astoria, oregon","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,41007,"4103150",9836,35,29,1423,7358,726,96,103,335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91721",2020-05-29,"forest grove, oregon","policing; racism","general protesters","antiracism; against police brutality",1,30,30,30,41067,"4126200",24457,139,108,2772,15033,1108,156,235,2207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92301",2020-05-29,"flower mound, texas","policing; racism","general protesters","antiracism; against police brutality",1,40,100,70,48121,"4826232",76555,3022,2948,20086,49982,8680,1318,919,3197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93247",2020-05-30,"homer, alaska","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,2122,"0233140",5709,29,29,824,4157,514,76,82,238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93680",2020-05-30,"beverly hills, california","policing; racism","general protesters","antiracism; against police brutality",1,2000,2000,2000,6037,"0606308",34186,665,665,8674,25207,3372,2963,911,1444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94850",2020-05-30,"moorpark, california","policing; racism","general protesters","antiracism; against police brutality",1,14,14,14,6111,"0649138",36372,577,577,7126,24801,2739,818,410,2092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95496",2020-05-30,"aspen, colorado","policing; racism","general protesters 0 protest","antiracism; against police brutality",1,1,1,1,8097,"0803620",7431,45,45,2651,5740,650,387,120,243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95613",2020-05-30,"estes park, colorado","policing; racism","general protesters","antiracism; against police brutality",1,70,70,70,8069,"0825115",6377,0,0,1468,5473,874,135,190,249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96299",2020-05-30,"windermere, florida","policing; racism","Dream Defenders","for justice for George Floyd, against racism, against police brutality",1,NA,NA,NA,12095,"1278050",3430,68,68,1057,2513,422,243,53,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96489",2020-05-30,"iowa, iowa","policing; racism","general protesters","antiracism; against police brutality",1,750,750,750,19103,"1938595",74950,6203,5887,11120,39626,6628,2498,3175,20646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
