"","date","City","issues","actors","claims","valence","size_low","size_high","size_mean","fips_code","GEOID","population","BlackPop","BlackPov","Bachelors","Pop25Plus","Masters","ProfDegree","Doctorate","CollegeStudents"
"2110",2019-01-19,"lewis, new york","civil rights; disability rights; economy; environment; immigration; labor; lgbtqia; racism; reproductive rights; women's rights","Women's March","for women's rights, against violence against women and femmes, for ending state violence, for reproductive rights, for racial justice, for LGBTQIA+ rights, for immigrants' rights, for economic justice and workers' rights, for civil rights, for disability rights, for environmental justice",1,15,15,15,36031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2213",2019-01-19,"minocqua, wisconsin","civil rights; disability rights; economy; environment; immigration; labor; lgbtqia; racism; reproductive rights; women's rights","Women's March WI","for women's rights, against violence against women and femmes, for ending state violence, for reproductive rights, for racial justice, for LGBTQIA+ rights, for immigrants' rights, for economic justice and workers' rights, for civil rights, for disability rights, for environmental justice",1,NA,NA,NA,55085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2220",2019-01-19,"jackson hole, wyoming","civil rights; disability rights; economy; environment; immigration; labor; lgbtqia; racism; reproductive rights; women's rights","JH ACTivate","for women's rights, against violence against women and femmes, for ending state violence, for reproductive rights, for racial justice, for LGBTQIA+ rights, for immigrants' rights, for economic justice and workers' rights, for civil rights, for disability rights, for environmental justice",1,100,100,100,56039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2239",2019-01-21,"gainsville, florida","racism","Newtown Florist Club","march to honor MLK",1,NA,NA,NA,12001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2241",2019-01-21,"bruce, michigan","racism","Dyer County NAACP","march to honor MLK",1,NA,NA,NA,26099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2328",2019-03-06,"viera, florida","civil rights; policing; racism","general protestors","Civil Rights; For racial justice; For greater accountability; Police",1,10,10,10,12009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2353",2019-03-19,"salina, california","civil rights; policing; racism","MILPA","Civil Rights; For greater accountability; For racial justice; Police",1,NA,NA,NA,6053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2370",2019-03-30,"north franklin, pennsylvania","civil rights; racism","general protestors","Civil Rights; For racial justice; Against violence",0,20,20,20,42125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2412",2019-04-29,"hamden, connecticut","civil rights; policing; racism","People Against Police Brutality","Civil Rights; For greater accountability; For racial justice; Police",0,20,20,20,9009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2417",2019-04-30,"albright, pennsylvania","civil rights; policing; racism","Students at Albright College","Civil Rights; For greater accountability; For racial justice; Police",0,NA,NA,NA,42025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2426",2019-05-05,"eugene-springfield, oregon","presidency; racism","anti-Trump protestors","anti-Trump; anti white supremacy",1,150,150,150,41039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2434",2019-05-11,"fairfield, connecticut","civil rights; education; racism","general protestors","anti-racism, civil rights, education",1,NA,NA,NA,9001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2477",2019-06-21,"el sobrante, california","racism","General Protestors","protest swastika in front lawn",0,36,36,36,6013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2490",2019-07-06,"hanover, virginia","racism","KKK","Discrimination; Pro-white supremacy",0,24,24,24,51085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2505",2019-07-24,"hanover, virginia","civil rights; racism","local clergy/NAACP chapter","Civil Rights; Against white supremacy; For racial justice",1,24,24,24,51085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2624",2019-10-30,"ames, indiana","racism","university students","against racism, homophobia",1,100,200,150,19169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2645",2019-11-14,"denton, illinois","policing; racism","students","improve cultural competence; Black Lives Matter",1,150,150,150,48121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2699",2019-12-30,"charlotttesville, virginia","racism","Monumental Justice Virginia Campaign","Against Confederate monuments",0,NA,NA,NA,51540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2747",2020-02-03,"youngstown, pennsylvania","racism","general protesters","in celebration of Black History Month",1,NA,NA,NA,42129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2885",2020-05-27,"willingboro, new jersey","policing; racism","general protesters","antiracism; against police brutality",1,12,12,12,34005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2933",2020-05-28,"saint anthony, minnesota","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,27053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3242",2020-05-30,"salisbury, connecticut","policing; racism","general protesters","antiracism; against police brutality",1,16,16,16,9005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3297",2020-05-30,"indianapolis, iowa","policing; racism","general protesters","antiracism; against police brutality; for justice for George Floyd and Dresjean Reed",1,300,300,300,19123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3364",2020-05-30,"hyannis, massachusetts","policing; racism","general protesters","antiracism; against police brutality",1,100,100,100,25001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3374",2020-05-30,"mount vernon, maine","policing; racism","general protesters","antiracism; against police brutality",1,10,10,10,23011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3440",2020-05-30,"dublin, new hampshire","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,33005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3455",2020-05-30,"north bergen, new jersey","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,34017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3460",2020-05-30,"willingboro, new jersey","policing; racism","general protester","antiracism; against police brutality",1,12,12,12,34005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3502",2020-05-30,"chllicothe, ohio","policing; racism","general protesters","antiracism; against police brutality",1,50,NA,50,39141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3733",2020-05-31,"ridgrecrest, california","policing; racism","general protesters","antiracism; against police brutality",1,65,65,65,6029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3786",2020-05-31,"salisbury, connecticut","policing; racism","general protesters","antiracism; against police brutality",1,250,250,250,9005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3788",2020-05-31,"southbury, connecticut","racism","Justice Southbury","against systemic racism, for equal justice for all",1,NA,NA,NA,9009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3829",2020-05-31,"viera, florida","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,12009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3942",2020-05-31,"centreville, massachusetts","policing; racism","general protesters","antiracism; against police brutality",1,150,200,175,25001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3943",2020-05-31,"easton, massachusetts","policing; racism","general protesters","antiracism; against police brutality",1,200,200,200,25005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3950",2020-05-31,"oak bluffs, massachusetts","policing; racism","general protesters","antiracism; against police brutality",1,40,40,40,25007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3951",2020-05-31,"ocean, massachusetts","policing; racism","Feminists, Liberals, Independents and Progressives","antiracism; against police brutality",1,NA,NA,NA,24047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3955",2020-05-31,"southwick, massachusetts","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,25013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3957",2020-05-31,"wellfleet, massachusetts","policing; racism","general protesters","antiracism; against police brutality",1,100,100,100,25001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3973",2020-05-31,"mount vernon, maine","policing; racism","general protesters","antiracism; against police brutality",1,7,10,8,23011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3988",2020-05-31,"longview, michigan","policing; racism","general protesters","antiracism; against police brutality",1,80,80,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4003",2020-05-31,"wilmar, minnesota","policing; racism","Willmar Out Loud","antiracism; against police brutality",1,NA,NA,NA,27067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4070",2020-05-31,"bloomfield, new jersey","policing; racism","general protesters","antiracism; against police brutality",1,75,75,75,34013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4082",2020-05-31,"millburn, new jersey","policing; racism","general protesters","antiracism; against police brutality",1,150,150,150,34013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4099",2020-05-31,"dewitt, new york","policing; racism","general protesters","antiracism; against police brutality",1,40,40,40,36067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4132",2020-05-31,"renssleaer, new york","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,36083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4188",2020-05-31,"aston, pennsylvania","policing; racism","general protestors","antiracism; against police brutality",1,NA,NA,NA,42045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4275",2020-05-31,"stockton, texas","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,48371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4292",2020-05-31,"stafford, virginia","policing; racism","general protesters","antiracism; against police brutality",1,100,100,100,51179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4304",2020-05-31,"eastsound, washington","policing; racism","general protesters","antiracism; against police brutality",1,100,100,100,53055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4314",2020-05-31,"winthrop, washington","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,53047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4404",2020-06-01,"palos verdes, california","policing; racism","general protesters","antiracism; against police brutality",1,150,150,150,6037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4435",2020-06-01,"breckinridge, colorado","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,8117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4452",2020-06-01,"southington, connecticut","policing; racism","general protesters","antiracism; against police brutality",1,200,200,200,9003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4493",2020-06-01,"tamuning, na","policing; racism","general protesters","antiracism; against police brutality",1,125,125,125,66000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4498",2020-06-01,"lafayette, iowa","policing; racism","general protesters","antiracism; against police brutality",1,400,400,400,19169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4519",2020-06-01,"la salle, illinois","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,17099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4594",2020-06-01,"petosky, michigan","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,26047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4595",2020-06-01,"sault sainte marie, michigan","policing; racism","general protesters","antiracism; against police brutality",1,200,200,200,26033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4636",2020-06-01,"alton, new hampshire","policing; racism","general protesters","antiracism; against police brutality",1,7,7,7,33001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4642",2020-06-01,"livingston, new jersey","policing; racism","general protesters","antiracism; against police brutality",1,125,125,125,34013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4643",2020-06-01,"middle, new jersey","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,34009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4664",2020-06-01,"narrowsburg, new york","policing; racism","general protesters","antiracism; against police brutality",1,55,55,55,36105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4688",2020-06-01,"sheboygan, new york","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,55117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4706",2020-06-01,"richmond, ohio","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,39081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4730",2020-06-01,"lafayette hill, pennsylvania","policing; racism","general protesters","antiracism; against police brutality",1,300,300,300,42091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4737",2020-06-01,"new bloomfield, pennsylvania","policing; racism","general protesters","antiracism; against police brutality",1,15,15,15,42099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4865",2020-06-02,"4s ranch, california","policing; racism","general protesters","antiracism; against police brutality",1,36,36,36,6073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4866",2020-06-02,"4s ranch, california","policing; racism","general protesters","antiracism; against police brutality",1,400,500,450,6073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4882",2020-06-02,"freemont, california","policing; racism","general protesters","antiracism; against police brutality",1,500,500,500,6001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4924",2020-06-02,"south bay, california","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,6037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4943",2020-06-02,"fairfield, connecticut","policing; racism","general protesters","antiracism; against police brutality",1,250,250,250,9001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4944",2020-06-02,"hamden, connecticut","policing; racism","general protesters","antiracism; against police brutality",1,50,50,50,9009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4948",2020-06-02,"killingly, connecticut","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,9015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4953",2020-06-02,"south windsor, connecticut","policing; racism","general protesters","antiracism; against police brutality",1,40,40,40,9003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4956",2020-06-02,"washington, connecticut","policing; racism","general protesters","antiracism; against police brutality",1,200,200,200,9005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5053",2020-06-02,"beaverton, louisiana","policing; racism","general protesters","antiracism; against police brutality",1,18,18,18,41067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5097",2020-06-02,"grosse point woods, michigan","policing; racism","general protesters","antiracism; against police brutality",1,100,100,100,26163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5153",2020-06-02,"cranford, new jersey","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,34039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5155",2020-06-02,"highstown, new jersey","policing; racism","general protesters","antiracism; against police brutality",1,100,100,100,34021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5159",2020-06-02,"north brunswick, new jersey","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,34023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5161",2020-06-02,"parsippany, new jersey","policing; racism","BLM Morristown; Wind of the Spirit","antiracism; against police brutality",1,1200,2000,1600,34027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5165",2020-06-02,"south brunswick, new jersey","policing; racism","general protesters","antiracism; against police brutality",1,500,500,500,34023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5168",2020-06-02,"willingboro, new jersey","policing; racism","general protesters","antiracism; against police brutality",1,200,200,200,34005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5183",2020-06-02,"narrowsburg, new york","policing; racism","general protesters","antiracism; against police brutality",1,160,160,160,36105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5184",2020-06-02,"new orleans, new york","policing; racism","general protesters","antiracism; against police brutality",1,300,300,300,22071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5217",2020-06-02,"staten island, new york","policing; racism","general protesters","antiracism; against police brutality",1,20,20,20,36085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5237",2020-06-02,"west chester, ohio","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,39017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5252",2020-06-02,"hood rivier, oregon","policing; racism","general protesters","antiracism; against police brutality",1,500,600,550,41027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5321",2020-06-02,"stockton, texas","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,48371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5329",2020-06-02,"clarendon, virginia","policing; racism","general protesters","antiracism; against police brutality",1,200,200,200,51013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5454",2020-06-03,"solona beach, california","policing; racism","general protesters","antiracism; against police brutality",1,200,200,200,6073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5461",2020-06-03,"west hollywood, california","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,6037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5472",2020-06-03,"cromwell, connecticut","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,9007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5475",2020-06-03,"granby, connecticut","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,9003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5477",2020-06-03,"new canaan, connecticut","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,9001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5481",2020-06-03,"tolland, connecticut","policing; racism","general protesters","antiracism; against police brutality",1,24,24,24,9013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5566",2020-06-03,"acton, massachusetts","policing; racism","general protesters","antiracism; against police brutality",1,200,200,200,25017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5575",2020-06-03,"mashpee, massachusetts","policing; racism","general protesters","antiracism; against police brutality",1,500,500,500,25001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5576",2020-06-03,"norwell, massachusetts","policing; racism","general protesters","antiracism; against police brutality",1,200,200,200,25023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5579",2020-06-03,"stoughton, massachusetts","policing; racism","Stoughton Diversity and Inclusion Organization","antiracism; against police brutality",1,200,200,200,25021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5643",2020-06-03,"meriden, new hampshire","policing; racism","general protesters","antiracism; against police brutality",1,150,150,150,33019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5645",2020-06-03,"plainfield, new hampshire","policing; racism","general protesters","antiracism; against police brutality",1,150,150,150,33019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5651",2020-06-03,"carmel, new york","policing; racism","general protesters","antiracism; against police brutality",1,70,70,70,36079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5655",2020-06-03,"narrowsburg, new york","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,36105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5716",2020-06-03,"abington, pennsylvania","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,42091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5738",2020-06-03,"stroud, pennsylvania","policing; racism","general protesters","antiracism; against police brutality",1,100,100,100,42089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5788",2020-06-03,"chesterfield, virginia","policing; racism","general protesters","antiracism; against police brutality",1,300,300,300,51041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5829",2020-06-03,"berkeley springs, west virginia","policing; racism","general protesters","antiracism; against police brutality; Black Lives Matter; for justice for George Floyd",1,100,100,100,54065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5897",2020-06-04,"studio, california","policing; racism","general protesters","antiracism; against police brutality",1,6,6,6,6037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5902",2020-06-04,"creede, colorado","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,8079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5906",2020-06-04,"avon, connecticut","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,9003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5908",2020-06-04,"bloomfield, connecticut","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,9003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5910",2020-06-04,"enfield, connecticut","policing; racism","general protesters","antiracism; against police brutality",1,350,350,350,9003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5912",2020-06-04,"new canaan, connecticut","policing; racism","general protesters","antiracism; against police brutality",1,1000,2000,1500,9001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5914",2020-06-04,"south windsor, connecticut","policing; racism","general protesters","antiracism; against police brutality",1,200,200,200,9003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5915",2020-06-04,"southbury, connecticut","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,9009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5948",2020-06-04,"elk grove, illinois","policing; racism","general protesters","antiracism; against police brutality",1,125,125,125,17031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5982",2020-06-04,"grafton, massachusetts","policing; racism","general protesters","antiracism; against police brutality",1,100,100,100,25027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5996",2020-06-04,"taunton, maryland","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6000",2020-06-04,"naples, maine","policing; racism","general protesters","antiracism; against police brutality",1,50,50,50,23005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6055",2020-06-04,"sunapee, new hampshire","policing; racism","general protesters","antiracism; against police brutality",1,9,9,9,33019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6058",2020-06-04,"scotch plains, new jersey","policing; racism","general protesters","antiracism; against police brutality",1,1000,1000,1000,34039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6066",2020-06-04,"honesville, new york","policing; racism","general protesters","antiracism; against police brutality",1,200,200,200,36091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6068",2020-06-04,"narrowsburg, new york","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,36105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6085",2020-06-04,"upper jay, new york","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,36031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6130",2020-06-04,"lower makefield, pennsylvania","policing; racism","general protesters","antiracism; against police brutality",1,100,200,150,42017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6131",2020-06-04,"marple, pennsylvania","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,42045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6141",2020-06-04,"radnor, pennsylvania","policing; racism","general protesters","antiracism; against police brutality",1,200,200,200,42045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6147",2020-06-04,"wayne, pennsylvania","policing; racism","general protesters","antiracism; against police brutality",1,200,200,200,42045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6191",2020-06-04,"virgina beach, virginia","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,51810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6192",2020-06-04,"st johnsbury, vermont","policing; racism","general protesters","antiracism; against police brutality",1,150,200,175,50005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6247",2020-06-05,"chatsworth, california","policing; racism","general protesters","antiracism; against police brutality",1,700,700,700,6037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6316",2020-06-05,"venice beach, california","policing; racism","general protesters","antiracism; against police brutality",1,300,300,300,6037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6318",2020-06-05,"west hollywood, california","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,6037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6328",2020-06-05,"westcliffe, colorado","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,8027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6338",2020-06-05,"plainville, connecticut","policing; racism","general protesters","antiracism; against police brutality",1,203,203,203,9003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6339",2020-06-05,"pomfret, connecticut","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,9015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6340",2020-06-05,"southbury, connecticut","policing; racism","general protesters","antiracism; against police brutality",1,300,300,300,9009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6342",2020-06-05,"vernon, connecticut","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,9013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6346",2020-06-05,"windham, connecticut","policing; racism","Windham-Willimantic branch of NAACP","antiracism; against police brutality",1,300,300,300,9015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6347",2020-06-05,"wolcott, connecticut","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,9009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6372",2020-06-05,"wynnwood, florida","policing; racism","general protesters","antiracism; against police brutality",1,300,300,300,12086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6380",2020-06-05,"hagåtña, na","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,66000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6381",2020-06-05,"tamuning, na","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,66000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6445",2020-06-05,"billerica, massachusetts","policing; racism","general protesters","antiracism; against police brutality",1,200,200,200,25017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6459",2020-06-05,"west newbury, massachusetts","racism","general protesters","against racism",1,100,100,100,25009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6498",2020-06-05,"west bloomfield, michigan","policing; racism","general protesters","antiracism; against police brutality",1,500,500,500,26125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6539",2020-06-05,"cherry hill, new jersey","policing; racism","general protesters","antiracism; against police brutality",1,200,200,200,34007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6542",2020-06-05,"maplewood, new jersey","policing; racism","general protesters","antiracism; against police brutality",1,300,300,300,34013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6545",2020-06-05,"nutley, new jersey","policing; racism","general protesters","antiracism; against police brutality",1,100,100,100,34013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6546",2020-06-05,"teaneck, new jersey","policing; racism","general protesters","antiracism; against police brutality",1,50,50,50,34003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6561",2020-06-05,"narrowsburg, new york","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,36105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6626",2020-06-05,"new bloomfield, pennsylvania","policing; racism","general protesters","antiracism; against police brutality",1,150,150,150,42099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6631",2020-06-05,"radnor, pennsylvania","policing; racism","general protesters","antiracism; against police brutality",1,2000,2000,2000,42045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6662",2020-06-05,"boulder, utah","policing; racism","general protesters","antiracism; against police brutality",1,100,100,100,49017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
